;word;count;category
958;Publication;7;
1211;Parachuting;7;
1261;Teacher;7;
1267;Classical music;7;
187;Tarpaulin;6;
206;Eyelash;6;
244;camomile;6;
283;Flat panel display;6;
284;Output device;6;
322;Countertop;6;
327;Sunrise;6;
353;Aerospace manufacturer;6;
376;Shoulder;6;
392;Rim;6;
432;Decoration;6;
466;Audio equipment;6;
478;Beauty;6;
516;Brass instrument;6;
552;Whiskers;6;
568;Amber;6;
613;Wildflower;6;
630;Automotive tail & brake light;6;
646;Symbol;6;
649;Graffiti;6;
656;Naval architecture;6;
659;Halter;6;
668;Concert;6;
697;Nose;6;
712;Mirror;6;
758;Sled;6;
794;Shelf;6;
798;Shelving;6;
802;Grass family;6;
805;Sweetness;6;
843;Pest;6;
858;Mixed-use;6;
867;Cross;6;
968;Human leg;6;
1032;Sand;6;
1178;Computer;6;
1263;String instrument;6;
1276;Service;6;
158;Star;5;
292;Steering part;5;
297;Measuring instrument;5;
337;Toddler;5;
343;Roller sport;5;
346;Roller skating;5;
389;Billboard;5;
412;Pink;5;
435;Flame;5;
461;Sink;5;
565;Varnish;5;
598;Skyscraper;5;
599;Umbrella;5;
615;Ancient history;5;
639;Icicle;5;
660;Saddle;5;
662;Equestrian sport;5;
664;Spire;5;
689;Plank;5;
691;Maar;5;
708;Brand;5;
735;Lip;5;
739;Atlas;5;
771;Girder bridge;5;
789;Archaeological site;5;
791;Waterfowl;5;
851;Limestone;5;
852;Batholith;5;
891;Rodent;5;
906;Meteorological phenomenon;5;
921;Bathroom;5;
1008;Ski helmet;5;
1020;Personal computer;5;
1049;Bumper;5;
1054;Book;5;
1239;Downhill ski boot;5;
1275;Laptop;5;
46;Beer;4;
122;Religious item;4;
221;Creative arts;4;
243;Chamaemelum nobile;4;
249;Tablecloth;4;
276;Split-rail fence;4;
285;Computer monitor accessory;4;
300;Dairy cow;4;
309;Mural;4;
310;Illustration;4;
359;Windbreaker;4;
377;White-collar worker;4;
381;Leaf vegetable;4;
408;Beige;4;
427;Solution;4;
450;Office supplies;4;
474;Fender;4;
482;Devil's bridge;4;
483;Beam bridge;4;
499;Bonfire;4;
513;Lawn;4;
540;Moisture;4;
560;Felidae;4;
562;Skin;4;
563;Facial expression;4;
578;Jewellery;4;
581;Rose family;4;
587;Ice rink;4;
589;Fashion accessory;4;
592;Natural foods;4;
601;Headstone;4;
602;Commemorative plaque;4;
610;Baluster;4;
633;Alley;4;
648;Urban area;4;
671;Customer;4;
673;Electrical supply;4;
698;Cheek;4;
702;Ear;4;
709;Multimedia;4;
720;Windscreen wiper;4;
733;Automotive side-view mirror;4;
761;Lawn ornament;4;
769;Cylinder;4;
772;Nail;4;
788;Pollen;4;
797;Plastic bottle;4;
804;Helicopter;4;
839;Butterfly;4;
850;Temperature;4;
861;Paper;4;
874;Rock climbing;4;
882;Waterway;4;
897;Squirrel;4;
950;Personal luxury car;4;
972;Rubble;4;
1067;Surfing Equipment;4;
1080;Lap;4;
1085;Cake;4;
1094;Goat;4;
1114;Child;4;
1129;Sheep;4;
1152;Muscle;4;
1193;Food storage containers;4;
1269;Membranophone;4;
1286;Violin;4;
49;Beer glass;3;
199;Human settlement;3;
204;Outdoor table;3;
289;Cityscape;3;
293;Bicycle accessory;3;
294;Bicycle part;3;
416;Fines herbes;3;
423;Fashion design;3;
428;Personal care;3;
452;Wine glass;3;
481;High-visibility clothing;3;
488;Camera;3;
496;Crankset;3;
501;Campfire;3;
503;Boot;3;
507;Military person;3;
545;Iris;3;
551;Pet supply;3;
554;Dog collar;3;
556;Arctic ocean;3;
559;Canidae;3;
575;Moonlight;3;
579;Snapshot;3;
582;Rose;3;
603;Number;3;
607;Display case;3;
608;Home fencing;3;
636;Cobblestone;3;
637;Design;3;
657;Mast;3;
667;Band plays;3;
680;Tartan;3;
700;Hairstyle;3;
704;Knee;3;
710;Office equipment;3;
714;Television set;3;
723;Fur;3;
748;Headlamp;3;
760;Ceiling fixture;3;
773;Thumb;3;
781;Condiment;3;
795;Food storage;3;
799;Home appliance;3;
800;Screenshot;3;
807;Forb;3;
808;Race track;3;
810;Sitting;3;
816;Shore;3;
822;Deer;3;
833;Goat-antelope;3;
849;Communication Device;3;
853;Arecales;3;
872;Red sky at morning;3;
879;Rotorcraft;3;
880;Helicopter rotor;3;
895;Wire fencing;3;
914;Facial hair;3;
920;Shower;3;
930;Mane;3;
934;Mountaineer;3;
936;Sea ice;3;
942;Ball;3;
965;Accipitridae;3;
974;Joint;3;
975;Guitar;3;
1004;Aqua;3;
1013;Daisy family;3;
1077;Van;3;
1087;Finger food;3;
1128;Bathroom sink;3;
