;word;count;category;subcategory;
920;Shower;3;;;
930;Mane;3;;;
934;Mountaineer;3;;;
936;Sea ice;3;;;
942;Ball;3;;;
965;Accipitridae;3;;;
974;Joint;3;;;
975;Guitar;3;;;
1004;Aqua;3;;;
1013;Daisy family;3;;;
1077;Van;3;;;
1087;Finger food;3;;;
1128;Bathroom sink;3;;;
1151;Passenger car;3;;;
1265;Class;3;;;
1277;Reed;3;;;
1278;Reed instrument;3;;;
1285;Artist;3;;;
1288;Woodwind instrument;3;;;
1300;Microphone;3;;;
125;Religious institute;2;;;
150;Windshield;2;;;
162;Astronomy;2;;;
217;Loom;2;;;
225;Hill station;2;;;
233;Motorsport;2;;;
251;Kitchen & dining room table;2;;;
259;Elbow;2;;;
271;Street furniture;2;;;
295;Cyclocomputer;2;;;
296;Gauge;2;;;
338;Hard hat;2;;;
339;Motorcycle helmet;2;;;
356;Player;2;;;
357;Quadrathlon;2;;;
366;Rice;2;;;
372;Mountain river;2;;;
380;Food craving;2;;;
391;Household hardware;2;;;
410;Chapel;2;;;
413;Flower Arranging;2;;;
414;Artificial flower;2;;;
418;Porcelain;2;;;
419;Candle;2;;;
424;Animal product;2;;;
437;Body jewelry;2;;;
439;Violet;2;;;
446;Classical sculpture;2;;;
449;Cosmetics;2;;;
457;Everyday carry;2;;;
462;Chef;2;;;
477;People;2;;;
480;Workwear;2;;;
500;Ash;2;;;
508;Military uniform;2;;;
509;Non-commissioned officer;2;;;
512;Church;2;;;
534;Fast food;2;;;
537;Cheese;2;;;
542;Drop;2;;;
553;Dog supply;2;;;
558;Retriever;2;;;
571;Antique;2;;;
580;Conifer;2;;;
583;Rose order;2;;;
584;Pedicel;2;;;
588;Gear;2;;;
593;Mist;2;;;
609;Column;2;;;
620;Monoplane;2;;;
621;Propeller;2;;;
624;Aircraft engine;2;;;
627;Molding;2;;;
628;Camera accessory;2;;;
629;Cameras & optics;2;;;
631;Cemetery;2;;;
632;Grave;2;;;
643;Bicycle fork;2;;;
645;Peach;2;;;
650;Art paint;2;;;
666;Public address system;2;;;
670;Market;2;;;
681;Photographer;2;;;
690;Lumber;2;;;
692;One-piece garment;2;;;
693;Street;2;;;
706;Emblem;2;;;
711;Paper product;2;;;
715;Clock tower;2;;;
728;Emberizidae;2;;;
734;Rear-view mirror;2;;;
736;Black hair;2;;;
742;Crescent;2;;;
752;Car seat cover;2;;;
757;Gear shift;2;;;
762;Lighthouse;2;;;
775;Foot;2;;;
801;Sauces;2;;;
815;Coat;2;;;
819;Steel casing pipe;2;;;
834;Electrical wiring;2;;;
835;Wire;2;;;
836;Lens flare;2;;;
842;Moths and butterflies;2;;;
844;Invertebrate;2;;;
862;Document;2;;;
869;Coffee cup;2;;;
876;Kitchen appliance;2;;;
877;Temperate broadleaf and mixed forest;2;;;
884;Chickadee;2;;;
885;Junco;2;;;
896;Eurasian Red Squirrel;2;;;
899;Fox squirrel;2;;;
904;Frost;2;;;
915;Wine;2;;;
916;Mixture;2;;;
922;Walking shoe;2;;;
923;Outdoor shoe;2;;;
924;Livestock;2;;;
928;Sled dog;2;;;
929;Pack animal;2;;;
933;Rein;2;;;
948;Night;2;;;
952;Speedometer;2;;;
959;Plywood;2;;;
960;Metropolis;2;;;
966;Falcon;2;;;
973;Fell;2;;;
976;Wrist;2;;;
982;Safety glove;2;;;
983;Sport climbing;2;;;
985;Stationery;2;;;
990;Wall clock;2;;;
993;Classic car;2;;;
998;Bread;2;;;
1000;Calm;2;;;
1005;Horse and buggy;2;;;
1010;Plant stem;2;;;
1021;Hearth;2;;;
1022;Drawer;2;;;
1023;Sportswear;2;;;
1028;Seabird;2;;;
1031;Audi r8;2;;;
1037;Liver;2;;;
1038;Neck;2;;;
1041;Christmas ornament;2;;;
1042;Christmas decoration;2;;;
1043;Holiday ornament;2;;;
1047;Shadow;2;;;
1048;Camera lens;2;;;
1052;Nonbuilding structure;2;;;
1055;Bookcase;2;;;
1058;Cheesemaking;2;;;
1066;Waterskiing;2;;;
1068;Prairie;2;;;
1078;Beetle;2;;;
1079;Parasite;2;;;
1081;Synthetic rubber;2;;;
1083;Handrail;2;;;
1084;Sun hat;2;;;
1086;Dessert;2;;;
1099;Tripod;2;;;
1100;Reptile;2;;;
1108;Pebble;2;;;
1125;Shower head;2;;;
1126;Shower bar;2;;;
1130;Bathtub;2;;;
1133;Frog;2;;;
1140;Waste containment;2;;;
1141;Parking;2;;;
1145;Crane;2;;;
1147;Aluminium;2;;;
1157;Awning;2;;;
1164;Christmas tree;2;;;
